Rank,Player,Wins,Losses,yElo
83,Sebastian Ofner,25,15,1733.8
84,Martin Damm,20,15,1733.1
85,Arthur Fery,18,10,1728.1
86,Taro Daniel,14,8,1723.3
87,Nishesh Basavareddy,20,10,1722.7
88,Luca Van Assche,28,15,1719.9
89,Borna Gojo,23,6,1717.6
90,Giovanni Mpetshi Perricard,14,15,1715.1
91,Jason Kubler,4,1,1714.5
92,Quentin Halys,23,20,1713.4
93,Henrique Rocha,24,14,1712.8
94,Emilio Nava,27,20,1712.0
95,Otto Virtanen,19,14,1708.8
96,Kyrian Jacquet,17,7,1708.1
97,Roman Andres Burruchaga,21,15,1706.9
98,Botic Van De Zandschulp,13,14,1701.5
99,Sho Shimabukuro,26,18,1697.4
100,Tallon Griekspoor,11,15,1694.7
101,Andrea Vavassori,7,3,1691.5
102,Francisco Comesana,13,17,1689.9
103,Christopher Oconnell,14,16,1689.6
104,Laslo Djere,14,9,1689.3
105,Nikoloz Basilashvili,17,19,1687.8
106,Zachary Svajda,23,15,1687.6
107,Arthur Rinderknech,11,15,1686.3
108,Kilian Feldbausch,14,5,1684.6
109,Terence Atmane,12,19,1682.6
110,Lukas Neumayer,21,12,1675.3
111,Yibing Wu,21,12,1674.7
112,Max Alcala Gurri,13,4,1672.6
113,Jurij Rodionov,28,15,1671.2
114,Henry Searle,7,4,1669.8
115,Hugo Dellien,28,14,1669.1
116,Federico Cina,20,13,1665.2
117,Zhizhen Zhang,14,16,1660.9
118,Jack Kennedy,8,4,1659.5
119,Alexei Popyrin,8,17,1659.4
120,Juncheng Shang,3,4,1658.2
121,Dhakshineswar Suresh,4,1,1656.9
122,Arthur Cazaux,3,2,1653.3
123,Vitaliy Sachko,13,14,1652.1
124,Leandro Riedi,17,12,1652.0
125,Giles Hussey,15,9,1650.6
126,Denis Shapovalov,9,13,1648.6
127,Jaume Munar,9,13,1643.7
128,Reilly Opelka,6,8,1641.7
129,Stefanos Sakellaridis,27,15,1641.2
130,Inaki Montes De La Torre,10,4,1640.9
131,Michael Zheng,10,7,1640.5
132,Marton Fucsovics,7,13,1638.3
133,Aleksandar Kovacevic,17,23,1635.7
134,Pierre Hugues Herbert,15,11,1635.2
135,Alexander Shevchenko,22,22,1634.8
136,David Jorda Sanchis,12,11,1634.3
137,Nikolas Sanchez Izquierdo,25,16,1626.1
138,Moise Kouame,10,11,1624.2
139,Clement Tabur,22,15,1623.8
140,Gauthier Onclin,15,9,1622.5
141,Marcos Giron,18,19,1621.7
142,Adrian Mannarino,11,21,1617.7
143,Juan Carlos Prado Angelo,16,13,1615.8
144,Marco Cecchinato,25,17,1615.6
145,Gabriel Diallo,8,16,1612.7
146,Remy Bertola,17,16,1612.3
147,Roberto Carballes Baena,20,17,1611.8
148,Zsombor Piros,22,12,1610.3
149,Felix Balshaw,10,5,1608.8
150,Alexis Galarneau,26,16,1604.7
151,Rodrigo Pacheco Mendez,15,11,1602.7
152,Elmer Moller,12,14,1602.3
153,Michael Mmoh,23,11,1599.9
154,Arthur Gea,24,11,1599.9
155,Jan Lennard Struff,11,17,1598.3
156,Patrick Kypson,12,16,1596.5
157,Hynek Barton,17,13,1595.5
158,Dalibor Svrcina,21,15,1594.8
159,James Duckworth,17,17,1593.9
160,Max Schoenhaus,8,6,1593.5
161,Lloyd Harris,14,8,1592.9
162,Cezar Cretu,9,6,1591.9
163,Pol Martin Tiffon,24,15,1591.9
164,Rei Sakamoto,17,14,1591.5
